Total Doors,Classroom Code,Node,Day Number,Start Time,Duration,People Count,Connection Strength,Adjusted People Count
3,450,431,5,1630,90,19,2,13
3,450,431,2,1030,180,43,2,29
3,450,431,5,900,180,36,2,24
3,450,431,1,1330,90,24,2,16
3,450,431,3,1330,90,24,2,16
3,450,431,1,1030,90,32,2,21
3,450,431,3,1030,90,32,2,21
3,450,431,2,1330,90,19,2,13
3,450,431,4,1030,90,28,2,19
3,450,431,5,1900,180,3,2,2
3,450,431,6,1330,180,2,2,1
3,450,431,6,930,180,5,2,3
3,450,433,5,1330,180,37,1,12
3,450,433,5,1200,90,38,1,13
3,450,433,3,1630,90,19,1,6
3,450,433,5,1630,90,19,1,6
3,450,433,2,1030,180,43,1,14
3,450,433,5,900,180,36,1,12
3,450,433,1,1330,90,24,1,8
3,450,433,3,1330,90,24,1,8
3,450,433,1,1030,90,32,1,11
3,450,433,3,1030,90,32,1,11
3,450,433,2,1330,90,19,1,6
3,450,433,4,1030,90,28,1,9
3,450,433,5,1900,180,3,1,1
3,450,433,6,1330,180,2,1,1
3,450,433,6,930,180,5,1,2
1,452,423,1,900,780,1,1,1
