Node,Classroom Code,Day Number,Start Time,End Time,People Count,Door Count
306,305,2,1500,1800,44,1
306,305,3,1500,1800,44,1
306,305,2,1330,1430,40,1
306,305,4,1330,1430,40,1
306,305,1,1330,1430,39,1
306,305,3,1330,1430,39,1
306,305,1,1030,1130,34,1
306,305,2,1030,1130,34,1
306,305,5,1200,1500,15,1
306,305,5,1500,1850,8,1
311,302,1,1330,1500,37,1
311,302,3,1300,1500,37,1
317,352,1,900,2200,30,2
317,352,2,900,2200,30,2
317,352,3,900,2200,30,2
317,352,4,900,2200,30,2
317,352,5,900,2200,30,2
318,322,1,900,2200,7,1
318,322,2,900,2200,7,1
318,322,3,900,2200,7,1
318,322,4,900,2200,7,1
318,322,5,900,2200,7,1
324,325,1,900,2200,5,1
324,325,2,900,2200,5,1
324,325,3,900,2200,5,1
324,325,4,900,2200,5,1
324,325,5,900,2200,5,1
325,350,1,1430,1530,54,2
325,350,4,1300,1430,54,2
325,350,3,1300,1430,29,2
325,350,1,900,1030,32,2
325,350,1,1030,1130,41,2
325,350,2,1300,1430,28,2
325,350,3,1030,1130,28,2
325,350,2,1030,1130,32,2
325,350,3,1300,1430,32,2
325,350,1,1600,1730,53,2
325,350,2,1600,1730,53,2
325,350,2,1430,1530,53,2
325,350,3,1600,1730,53,2
325,350,3,1430,1530,58,2
325,350,5,1430,1530,58,2
325,350,6,930,1200,5,2
325,350,5,1900,2200,5,2
325,350,6,1330,1600,9,2
325,350,4,1000,1300,6,2
328,326,2,1500,1700,60,1
328,326,4,1500,1700,60,1
328,326,2,1030,1130,32,1
328,326,4,1200,1330,32,1
328,326,3,1130,1230,16,1
328,326,5,1130,1230,16,1
328,326,1,900,1100,40,1
328,326,2,1200,1400,40,1
328,326,5,1300,1700,40,1
328,326,2,1800,2030,30,1
328,326,4,1800,2030,19,1
328,326,6,900,1200,13,1
328,326,6,1300,1700,7,1
328,347,4,1200,1500,20,2
328,347,3,1030,1130,32,2
